COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,INDICE,ipm,saber_punt_global_mean
85,CASANARE,85300,SABANALARGA,"4,06",0.21921489275596923,270.5
68,SANTANDER,68160,CEPITÁ,"1,59",0.20767434317223482,313.3333333333333
15,BOYACÁ,15047,AQUITANIA,"2,91",0.21142715559960357,276.35135135135135
85,CASANARE,85430,TRINIDAD,"2,37",0.21921489275596923,245.5
25,CUNDINAMARCA,25286,FUNZA,"21,75",0.19428256765261168,263.46
05,ANTIOQUIA,05264,ENTRERRIOS,"11,68",0.2120180810731992,242.0
05,ANTIOQUIA,05425,MACEO,"6,57",0.2120180810731992,245.96774193548387
05,ANTIOQUIA,05091,BETANIA,"5,02",0.2120180810731992,243.4
54,NORTE DE SANTANDER,54660,SALAZAR,"0,14",0.26416399286987524,263.25
41,HUILA,41676,SANTA MARÍA,"2,11",0.22292018170019468,276.14285714285717
63,QUINDÍO,63212,CÓRDOBA,"3,81",0.20098887515451175,342.0
85,CASANARE,85125,HATO COROZAL,"1,71",0.21921489275596923,238.0
23,CÓRDOBA,23670,SAN ANDRÉS DE SOTAVENTO,"1,63",0.2646156546156546,217.25
76,VALLE DEL CAUCA,76869,VIJES,"1,73",0.19479325699745548,252.28571428571428
25,CUNDINAMARCA,25290,FUSAGASUGÁ,"19,04",0.19428256765261168,253.59459459459458
73,TOLIMA,73217,COYAIMA,"2,34",0.23386718750000002,211.8
25,CUNDINAMARCA,25658,SAN FRANCISCO,"8,06",0.19428256765261168,227.6
08,ATLÁNTICO,08520,PALMAR DE VARELA,"2,97",0.2301888,206.42857142857142
08,ATLÁNTICO,08560,PONEDERA,"0,96",0.2301888,194.0
47,MAGDALENA,47460,NUEVA GRANADA,"0,06",0.2781801670904468,208.83333333333334
15,BOYACÁ,15839,TUTAZÁ,"1,23",0.21142715559960357,267.3333333333333
47,MAGDALENA,47001,SANTA MARTA,"14,98",0.2781801670904468,264.6391184573003
13,BOLÍVAR,13657,SAN JUAN NEPOMUCENO,"4,87",0.26594403345127055,250.6
41,HUILA,41298,GARZÓN,"8,34",0.22292018170019468,268.46153846153845
70,SUCRE,70823,SAN JOSÉ DE TOLUVIEJO,"2,25",0.2775482487491065,259.77777777777777
68,SANTANDER,68307,GIRÓN,"16,38",0.20767434317223482,285.8877192982456
68,SANTANDER,68001,BUCARAMANGA,"24,13",0.20767434317223482,302.11744966442956
25,CUNDINAMARCA,25086,BELTRÁN,"2,46",0.19428256765261168,188.0
25,CUNDINAMARCA,25781,SUTATAUSA,"1,27",0.19428256765261168,325.0
25,CUNDINAMARCA,25407,LENGUAZAQUE,"1,01",0.19428256765261168,262.3333333333333
52,NARIÑO,52079,BARBACOAS,"0,14",0.254,272.4
52,NARIÑO,52287,FUNES,"1,94",0.254,300.93333333333334
44,LA GUAJIRA,44098,DISTRACCIÓN,"2,07",0.31803024846957145,235.57142857142858
54,NORTE DE SANTANDER,54128,CACHIRÁ,"0,12",0.26416399286987524,317.75
76,VALLE DEL CAUCA,76834,TULUÁ,"16,85",0.19479325699745548,270.9718309859155
52,NARIÑO,52427,MAGÜI,"0,04",0.254,191.5
25,CUNDINAMARCA,25769,SUBACHOQUE,"6,48",0.19428256765261168,236.11111111111111
05,ANTIOQUIA,05658,SAN JOSÉ DE LA MONTAÑA,"10,18",0.2120180810731992,224.0
63,QUINDÍO,63470,MONTENEGRO,"9,24",0.20098887515451175,255.2173913043478
73,TOLIMA,73678,SAN LUIS,"2,55",0.23386718750000002,236.0
13,BOLÍVAR,13188,CICUCO,"1,51",0.26594403345127055,257.75
23,CÓRDOBA,23570,PUEBLO NUEVO,"2,94",0.2646156546156546,279.25
05,ANTIOQUIA,05310,GÓMEZ PLATA,"8,07",0.2120180810731992,219.0
47,MAGDALENA,47318,GUAMAL,"0,12",0.2781801670904468,269.0
86,PUTUMAYO,86755,SAN FRANCISCO,"4,15",0.23961087866108785,281.93333333333334
68,SANTANDER,68176,CHIMA,"0,90",0.20767434317223482,350.0
81,ARAUCA,81065,ARAUQUITA,"1,76",0.24664762741652022,253.92
15,BOYACÁ,15299,GARAGOA,"3,04",0.21142715559960357,265.75
76,VALLE DEL CAUCA,76248,EL CERRITO,"9,40",0.19479325699745548,271.46666666666664
68,SANTANDER,68370,JORDÁN,"1,14",0.20767434317223482,277.0
25,CUNDINAMARCA,25489,NIMAIMA,"1,42",0.19428256765261168,235.0
25,CUNDINAMARCA,25807,TIBIRITA,"1,80",0.19428256765261168,275.0
68,SANTANDER,68682,SAN JOAQUÍN,"1,96",0.20767434317223482,311.5
15,BOYACÁ,15367,JENESANO,"2,39",0.21142715559960357,285.85714285714283
68,SANTANDER,68264,ENCINO,"1,37",0.20767434317223482,328.0
25,CUNDINAMARCA,25123,CACHIPAY,"1,18",0.19428256765261168,274.0
85,CASANARE,85139,MANÍ,"5,55",0.21921489275596923,272.8181818181818
25,CUNDINAMARCA,25120,CABRERA,"1,95",0.19428256765261168,292.1666666666667
76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,"17,02",0.19479325699745548,276.15677966101697
52,NARIÑO,52240,CHACHAGÜÍ,"0,97",0.254,280.88
44,LA GUAJIRA,44874,VILLANUEVA,"5,02",0.31803024846957145,259.64285714285717
13,BOLÍVAR,13212,CÓRDOBA,"0,98",0.26594403345127055,328.0
05,ANTIOQUIA,05543,PEQUE,"2,74",0.2120180810731992,228.0
05,ANTIOQUIA,05284,FRONTINO,"5,55",0.2120180810731992,240.0
41,HUILA,41797,TESALIA,"5,97",0.22292018170019468,295.6
17,CALDAS,17088,BELALCÁZAR,"1,50",0.20705396825396827,296.0
17,CALDAS,17877,VITERBO,"8,03",0.20705396825396827,211.35294117647058
05,ANTIOQUIA,05321,GUATAPE,"13,73",0.2120180810731992,272.0
05,ANTIOQUIA,05736,SEGOVIA,"17,20",0.2120180810731992,247.75
25,CUNDINAMARCA,25151,CAQUEZA,"5,82",0.19428256765261168,226.33333333333334
68,SANTANDER,68755,SOCORRO,"12,36",0.20767434317223482,298.1162790697674
76,VALLE DEL CAUCA,76113,BUGALAGRANDE,"8,15",0.19479325699745548,255.08333333333334
18,CAQUETA,18479,MORELIA,"0,87",0.24688277668631303,238.5
70,SUCRE,70233,EL ROBLE,"0,18",0.2775482487491065,305.0
25,CUNDINAMARCA,25269,FACATATIVÁ,"12,92",0.19428256765261168,260.7235772357724
13,BOLÍVAR,13442,MARÍA LA BAJA,"0,98",0.26594403345127055,192.0
52,NARIÑO,52693,SAN PABLO,"2,38",0.254,289.2448979591837
05,ANTIOQUIA,05172,CHIGORODÓ,"10,44",0.2120180810731992,219.14285714285714
